collection_no,occurrence_no,accepted_name,early_interval,late_interval,max_ma,min_ma,plng,plat,MAT,seasonal_temp,MAP,seasonal_precip
57120,545346,Rhamphocephalus,Middle Bathonian,NA,168.2,165.3,7.3606918102564,40.4120675851545,22.934142049153667,16.341766357421896,3.1694655338772776e-5,4.89473632114823e-5
57124,545391,Rhamphorhynchidae,Late Bathonian,NA,168.2,165.3,7.77743563819006,40.1222490225912,22.934142049153667,16.341766357421896,3.1694655338772776e-5,4.89473632114823e-5
57125,545424,Pterosauria,Late Bathonian,NA,168.2,165.3,7.87886498719196,40.098942247581,22.934142049153667,16.341766357421896,3.1694655338772776e-5,4.89473632114823e-5
45931,545455,Pterosauria,Early Bathonian,NA,168.2,165.3,8.68844060394504,41.4922459358553,19.518329874674496,31.521850585937447,2.763515931292205e-5,1.0340430890209997e-5
52546,545728,Rhamphocephalus depressirostris,Early Bathonian,NA,168.2,165.3,8.64044180025025,41.3775541730758,19.518329874674496,31.521850585937447,2.763515931292205e-5,1.0340430890209997e-5
57140,545762,Rhamphocephalus,Middle Bathonian,NA,168.2,165.3,8.43377632100676,41.3563951082108,19.518329874674496,31.521850585937447,2.763515931292205e-5,1.0340430890209997e-5
52146,546122,Pterosauria,Early Albian,NA,113,109.9,-58.4390145993065,28.8612824579118,29.012213643391952,29.6517333984375,7.965297176800348e-6,2.2766579718336258e-5
57948,558358,Scleromochlus taylori,Carnian,Norian,237,208.5,-0.309546066383309,33.2867681942765,30.02732747395835,36.8619079589844,7.020404429643651e-7,1.256918324088473e-6
59068,565233,Pterosauria,Late Maastrichtian,NA,72.1,66,-86.4489974820144,44.1886984115808,17.7009267171224,35.276763916015625,1.585681150118035e-5,3.1141149975155754e-5
53915,565446,Pterosauria,Maastrichtian,NA,72.1,66,-79.9160343635399,34.4031933682638,25.19505462646486,29.584320068359403,2.182817108102123e-5,3.6367040593177067e-5
59176,565781,Pteraichnus,Aptian,Albian,121.4,100.5,124.021584653569,42.8728073949342,14.1294647216797,40.4616088867187,4.456722611697235e-5,5.873595364391809e-5
27891,565934,Pterodactyloidea,Early Callovian,NA,165.3,161.5,122.939831863202,43.5353818597506,17.026966349283867,43.390167236328104,3.316018008566365e-5,3.43836554748122e-5
59255,565950,Pteraichnus yanguoxiaensis,Barremian,Aptian,125.77,113,105.125300296148,36.9577188124653,18.634390767415375,36.2238464355469,2.3984901872609054e-5,4.330137198849115e-5
60297,573793,Lagerpeton chanarensis,Ladinian,NA,242,237,-37.7220297234386,-49.9083626975486,24.21721038818361,46.970245361328125,5.586053489992084e-6,9.259847331577475e-6
61325,582766,Pterosauria,Late Barremian,NA,125.77,121.4,10.4306158867231,29.813150169940702,26.656938171386734,8.293212890625,3.2073905913421186e-5,5.29122862644726e-5
61326,582772,Pterosauria,Late Barremian,NA,125.77,121.4,10.4306158867231,29.813150169940702,26.656938171386734,8.293212890625,3.2073905913421186e-5,5.29122862644726e-5
47035,583529,Azhdarchidae,Late Maastrichtian,NA,72.1,66,-0.442940591665194,31.1176568210629,27.828424072265644,11.044036865234297,1.7766855516280576e-5,4.754451970256925e-5
61319,583621,Pterosauria,Late Barremian,NA,125.77,121.4,8.40999673278617,30.4234327371046,21.159819539388025,18.046234130859403,3.4501993316856286e-5,4.23535457230173e-5
